NUMN =   8192 , USE_MUTEX = false , NumPopErrors =  2781 =  33.95% , Elapsed time =    145.00 microseconds
NUMN =   8192 , USE_MUTEX = false , NumPopErrors =  2482 =  30.30% , Elapsed time =    146.00 microseconds
NUMN =   8192 , USE_MUTEX = false , NumPopErrors =  3916 =  47.80% , Elapsed time =  83086.00 microseconds
NUMN =   8192 , USE_MUTEX = false , NumPopErrors =  3693 =  45.08% , Elapsed time =  70138.00 microseconds
NUMN =  16384 , USE_MUTEX =  true , NumPopErrors =     0 =   0.00% , Elapsed time =    948.00 microseconds
NUMN =  16384 , USE_MUTEX =  true , NumPopErrors =     0 =   0.00% , Elapsed time =    936.00 microseconds
NUMN =  16384 , USE_MUTEX =  true , NumPopErrors =     0 =   0.00% , Elapsed time =    809.00 microseconds
NUMN =  16384 , USE_MUTEX =  true , NumPopErrors =     0 =   0.00% , Elapsed time =    996.00 microseconds
NUMN =  16384 , USE_MUTEX =  true , NumPopErrors =     0 =   0.00% , Elapsed time =    913.00 microseconds
NUMN =  16384 , USE_MUTEX = false , NumPopErrors =  5779 =  35.27% , Elapsed time =    200.00 microseconds
NUMN =  16384 , USE_MUTEX = false , NumPopErrors =  8981 =  54.82% , Elapsed time = 252463.00 microseconds
NUMN =  16384 , USE_MUTEX = false , NumPopErrors =  7448 =  45.46% , Elapsed time =  99291.00 microseconds
NUMN =  16384 , USE_MUTEX = false , NumPopErrors =  4640 =  28.32% , Elapsed time =    196.00 microseconds
NUMN =  16384 , USE_MUTEX = false , NumPopErrors =  8940 =  54.57% , Elapsed time = 247654.00 microseconds
NUMN =  16384 , USE_MUTEX = false , NumPopErrors =  8288 =  50.59% , Elapsed time = 181381.00 microseconds
NUMN =  16384 , USE_MUTEX = false , NumPopErrors =  8349 =  50.96% , Elapsed time = 187082.00 microseconds
NUMN =  16384 , USE_MUTEX = false , NumPopErrors =  6175 =  37.69% , Elapsed time =    200.00 microseconds
NUMN =  16384 , USE_MUTEX = false , NumPopErrors =  7336 =  44.78% , Elapsed time =  68502.00 microseconds
NUMN =  16384 , USE_MUTEX = false , NumPopErrors =  4874 =  29.75% , Elapsed time =    197.00 microseconds
NUMN =  32768 , USE_MUTEX =  true , NumPopErrors =     0 =   0.00% , Elapsed time =   1752.00 microseconds
NUMN =  32768 , USE_MUTEX =  true , NumPopErrors =     0 =   0.00% , Elapsed time =   1832.00 microseconds
NUMN =  32768 , USE_MUTEX =  true , NumPopErrors =     0 =   0.00% , Elapsed time =   1893.00 microseconds
NUMN =  32768 , USE_MUTEX =  true , NumPopErrors =     0 =   0.00% , Elapsed time =   1739.00 microseconds
NUMN =  32768 , USE_MUTEX =  true , NumPopErrors =     0 =   0.00% , Elapsed time =   1747.00 microseconds
NUMN =  32768 , USE_MUTEX = false , NumPopErrors = 11642 =  35.53% , Elapsed time =    307.00 microseconds
NUMN =  32768 , USE_MUTEX = false , NumPopErrors = 12223 =  37.30% , Elapsed time =    348.00 microseconds
NUMN =  32768 , USE_MUTEX = false , NumPopErrors = 16714 =  51.01% , Elapsed time = 346079.00 microseconds
NUMN =  32768 , USE_MUTEX = false , NumPopErrors = 15151 =  46.24% , Elapsed time = 163255.00 microseconds
NUMN =  32768 , USE_MUTEX = false , NumPopErrors = 12343 =  37.67% , Elapsed time =    334.00 microseconds
NUMN =  32768 , USE_MUTEX = false , NumPopErrors = 15523 =  47.37% , Elapsed time = 245909.00 microseconds
NUMN =  32768 , USE_MUTEX = false , NumPopErrors = 16948 =  51.72% , Elapsed time = 363673.00 microseconds
NUMN =  32768 , USE_MUTEX = false , NumPopErrors = 12413 =  37.88% , Elapsed time =    338.00 microseconds
NUMN =  32768 , USE_MUTEX = false , NumPopErrors = 12729 =  38.85% , Elapsed time =    309.00 microseconds
NUMN =  32768 , USE_MUTEX = false , NumPopErrors = 13596 =  41.49% , Elapsed time =  29464.00 microseconds
